timestamps,response,length,service
0.0,4,3,1
0.02040000000002351,4,4,1
0.04005000000000791,4,3,1
0.08004999999999995,4,3,1
0.12050000000002115,4,4,1
0.16035000000002242,4,3,1
0.20025000000001114,4,3,1
0.2203500000000247,4,4,1
0.24045000000000982,4,3,1
0.28025000000002365,4,3,1
0.3202500000000157,4,4,1
0.4002499999999998,4,3,1
0.42045000000001664,4,4,1
0.44010000000000105,4,3,1
0.48020000000002483,4,3,1
0.5202500000000043,4,4,1
0.600200000000001,4,3,1
0.6204500000000053,4,4,1
0.6402000000000214,4,3,1
0.6801499999999976,4,3,1
0.720799999999997,4,4,1
0.8008000000000095,4,3,1
0.820350000000019,4,4,1
0.8409500000000207,4,3,1
0.880800000000022,4,3,1
0.92055000000002,4,4,1
1.0007500000000107,4,3,1
1.0203000000000202,4,4,1
1.0407000000000153,4,3,1
1.0805500000000166,4,3,1
1.1213000000000193,4,4,1
1.1605500000000006,4,3,1
1.2007499999999993,4,3,1
1.2207500000000095,4,4,1
1.240700000000004,4,3,1
1.2805500000000052,4,3,1
1.3205000000000098,4,4,1
1.4005500000000097,4,3,1
1.42055000000002,4,4,1
1.440650000000005,4,3,1
1.4805000000000064,4,3,1
1.5205500000000143,4,4,1
1.6004500000000235,4,3,1
1.6203000000000145,4,4,1
1.6410000000000196,4,3,1
1.6805500000000109,4,3,1
1.7207500000000095,4,4,1
1.8010000000000161,4,3,1
1.820350000000019,4,4,1
1.8404000000000167,4,3,1
1.880250000000018,4,3,1
1.9204500000000166,4,4,1
1.9961000000000126,4,3,1
2.0206000000000017,4,4,1
2.0406499999999994,4,3,1
2.0805500000000166,4,3,1
2.120500000000021,4,4,1
2.160500000000013,4,3,1
2.200550000000021,4,3,1
2.220850000000013,4,4,1
2.240700000000004,4,3,1
2.2805000000000177,4,3,1
2.320850000000007,4,4,1
2.400650000000013,4,3,1
2.42055000000002,4,4,1
2.440700000000021,4,3,1
2.4805000000000064,4,3,1
2.5206000000000017,4,4,1
2.600500000000011,4,3,1
2.6208500000000186,4,4,1
2.6407000000000096,4,3,1
2.6804500000000075,4,3,1
2.7209000000000003,4,4,1
2.8005500000000154,4,3,1
2.820900000000023,4,4,1
2.8406500000000108,4,3,1
2.880500000000012,4,3,1
2.92055000000002,4,4,1
3.0002500000000225,4,3,1
3.0206000000000017,4,4,1
3.0405500000000245,4,3,1
3.080200000000019,4,3,1
3.1206000000000245,4,4,1
3.1606000000000165,4,3,1
3.2002999999999986,4,3,1
3.2210500000000195,4,4,1
3.240700000000004,4,3,1
3.2802500000000236,4,3,1
3.3212000000000046,4,4,1
3.4003000000000156,4,3,1
3.4206500000000233,4,4,1
3.4404499999999985,4,3,1
3.4802999999999997,4,3,1
3.520700000000005,4,4,1
3.6003000000000043,4,3,1
3.6208000000000027,4,4,1
3.6403999999999996,4,3,1
3.680300000000017,4,3,1
3.7207500000000095,4,4,1
3.8003000000000213,4,3,1
3.820900000000023,4,4,1
3.8403000000000134,4,3,1
3.8803000000000054,4,3,1
3.921600000000012,4,4,1
4.000799999999998,4,3,1
4.020800000000008,4,4,1
4.040350000000018,4,3,1
4.0803000000000225,4,3,1
4.1206000000000245,4,4,1
4.160350000000022,4,3,1
4.2003500000000145,4,3,1
4.220400000000012,4,4,1
4.241250000000008,4,3,1
4.2803499999999985,4,3,1
4.3206500000000005,4,4,1
4.400500000000022,4,3,1
4.420650000000023,4,4,1
4.440350000000024,4,3,1
4.480450000000019,4,3,1
4.520450000000011,4,4,1
4.596350000000001,4,3,1
4.620550000000009,4,4,1
4.64070000000001,4,3,1
4.681200000000018,4,3,1
4.720350000000025,4,4,1
4.800550000000015,4,3,1
4.81635,4,4,1
4.84050000000002,4,3,1
4.880350000000021,4,3,1
4.920749999999998,4,4,1
5.000650000000007,4,3,1
5.020700000000005,4,4,1
5.040450000000021,4,3,1
5.080450000000013,4,3,1
5.120500000000021,4,4,1
5.160500000000013,4,3,1
5.200400000000002,4,3,1
5.221350000000001,4,4,1
5.240499999999997,4,3,1
5.280400000000014,4,3,1
5.3206500000000005,4,4,1
5.400650000000013,4,3,1
5.420749999999998,4,4,1
5.440650000000005,4,3,1
5.480450000000019,4,3,1
5.5204000000000235,4,4,1
5.6004500000000235,4,3,1
5.620500000000021,4,4,1
5.641250000000014,4,3,1
5.6804500000000075,4,3,1
5.7207500000000095,4,4,1
5.800450000000012,4,3,1
5.820700000000016,4,4,1
5.840699999999998,4,3,1
5.880500000000012,4,3,1
5.920700000000011,4,4,1
6.000500000000017,4,3,1
6.021550000000019,4,4,1
6.040700000000015,4,3,1
6.076150000000013,4,3,1
6.120550000000009,4,4,1
6.160650000000004,4,3,1
6.200550000000021,4,3,1
6.2207500000000095,4,4,1
6.24045000000001,4,3,1
6.276450000000011,4,3,1
6.320600000000013,4,4,1
6.40055000000001,4,3,1
6.420700000000011,4,4,1
6.440500000000014,4,3,1
6.480500000000006,4,3,1
6.520750000000021,4,4,1
6.600600000000014,4,3,1
6.620550000000009,4,4,1
6.640600000000006,4,3,1
6.680599999999998,4,3,1
6.7207500000000095,4,4,1
6.796450000000021,4,3,1
6.8206500000000005,4,4,1
6.84050000000002,4,3,1
6.8817000000000235,4,3,1
6.920500000000004,4,4,1
7.000799999999998,4,3,1
7.021000000000015,4,4,1
7.040649999999999,4,3,1
7.080500000000001,4,3,1
7.120650000000012,4,4,1
7.160650000000004,4,3,1
7.200550000000021,4,3,1
7.221750000000014,4,4,1
7.2406500000000165,4,3,1
7.2806500000000085,4,3,1
7.3206500000000005,4,4,1
7.400599999999997,4,3,1
7.4208500000000015,4,4,1
7.440800000000024,4,3,1
7.476550000000003,4,3,1
7.520700000000005,4,4,1
7.600549999999998,4,3,1
7.620650000000012,4,4,1
7.640749999999997,4,3,1
7.680850000000021,4,3,1
7.720850000000013,4,4,1
7.800750000000022,4,3,1
7.820600000000013,4,4,1
7.840699999999998,4,3,1
7.880600000000015,4,3,1
7.92055000000002,4,4,1
8.00060000000002,4,3,1
8.021150000000006,4,4,1
8.04065,4,3,1
8.080550000000017,4,3,1
8.12190000000001,4,4,1
8.160600000000017,4,3,1
8.200600000000009,4,3,1
8.220700000000022,4,4,1
8.24075000000002,4,3,1
8.280600000000021,4,3,1
8.320750000000004,4,4,1
8.400650000000013,4,3,1
8.420749999999998,4,4,1
8.440650000000005,4,3,1
8.48060000000001,4,3,1
8.520850000000024,4,4,1
8.600700000000018,4,3,1
8.620800000000003,4,4,1
8.640600000000006,4,3,1
8.680700000000002,4,3,1
8.720650000000006,4,4,1
8.800600000000003,4,3,1
8.820999999999998,4,4,1
8.84065000000001,4,3,1
8.880650000000003,4,3,1
8.920600000000007,4,4,1
9.000650000000007,4,3,1
9.020850000000024,4,4,1
9.040900000000022,4,3,1
9.080750000000023,4,3,1
9.120650000000012,4,4,1
9.160899999999998,4,3,1
9.200700000000012,4,3,1
9.22075000000001,4,4,1
9.240700000000004,4,3,1
9.280700000000024,4,3,1
9.321100000000001,4,4,1
9.4007,4,3,1
9.420749999999998,4,4,1
9.440700000000021,4,3,1
9.480700000000013,4,3,1
9.520700000000005,4,4,1
9.600900000000024,4,3,1
9.620800000000003,4,4,1
9.640950000000004,4,3,1
9.680700000000002,4,3,1
9.720700000000022,4,4,1
9.800700000000006,4,3,1
9.821050000000014,4,4,1
9.840699999999998,4,3,1
9.880800000000022,4,3,1
9.920950000000005,4,4,1
10.00075000000001,4,3,1
10.020850000000024,4,4,1
10.040750000000003,4,3,1
10.080700000000007,4,3,1
10.121350000000007,4,4,1
10.160800000000023,4,3,1
10.20075,4,3,1
10.220800000000025,4,4,1
10.241150000000005,4,3,1
10.2808,4,3,1
10.321050000000014,4,4,1
10.400750000000016,4,3,1
10.421050000000008,4,4,1
10.440750000000008,4,3,1
10.48075,4,3,1
10.522350000000017,4,4,1
10.60080000000002,4,3,1
10.621200000000016,4,4,1
10.636750000000006,4,3,1
10.681100000000015,4,3,1
10.720850000000013,4,4,1
10.80095,4,3,1
10.820900000000023,4,4,1
10.84095000000002,4,3,1
10.881050000000016,4,3,1
10.920900000000017,4,4,1
11.000900000000001,4,3,1
11.021150000000006,4,4,1
11.041050000000013,4,3,1
11.080849999999998,4,3,1
11.121050000000025,4,4,1
11.161250000000024,4,3,1
11.200900000000019,4,3,1
11.220950000000016,4,4,1
11.241100000000017,4,3,1
11.280900000000003,4,3,1
11.321150000000017,4,4,1
11.401100000000014,4,3,1
11.421050000000008,4,4,1
11.440950000000015,4,3,1
11.48090000000002,4,3,1
11.521250000000009,4,4,1
11.601850000000013,4,3,1
11.621499999999997,4,4,1
11.64100000000002,4,3,1
11.681100000000015,4,3,1
11.720950000000016,4,4,1
11.796450000000021,4,3,1
11.821200000000005,4,4,1
11.84095000000002,4,3,1
11.880900000000025,4,3,1
11.920900000000017,4,4,1
12.000850000000014,4,3,1
12.02095,4,4,1
12.041150000000016,4,3,1
12.080849999999998,4,3,1
12.121250000000003,4,4,1
12.160950000000014,4,3,1
12.201150000000013,4,3,1
12.221000000000004,4,4,1
12.24090000000001,4,3,1
12.280900000000003,4,3,1
12.316500000000019,4,4,1
12.400900000000007,4,3,1
